Date,Company,Product,Quantity_Sold,Unit_Price,Revenue,Production_Quantity,Inventory_Start,Inventory_End,Raw_Material_Cost_Per_Unit,Processing_Cost_Per_Unit,Packaging_Cost_Per_Unit,Transportation_Cost_Per_Unit,Total_Cost_Per_Unit,Total_Costs,Waste_Quantity,Waste_Cost,Profit,Profit_Margin_Percent,Quality_Score,Customer_Rating,Production_Efficiency,Capacity_Utilization,Market_Share_Percent,Competitor_Average_Price,Season,Region,Sales_Channel,Batch_Number,Expiry_Days
2021-01-14,Amul,Paneer,293,355.24,104086.35,397,442,540,185.41,36.62,31.03,25.64,278.69,113976.64,18,3337.36,-9890.29,-9.5,86.9,4.3,0.818,0.736,30.73,320.49,Spring,West,Retail,B2021016347,67
2021-01-15,Amul,Butter,215,426.56,91709.64,262,379,403,221.44,82.24,42.04,16.61,362.33,95373.38,2,442.89,-3663.73,-3.99,96.0,4.8,0.85,0.89,17.42,423.8,Spring,North,Retail,B2021014107,304
2021-01-15,Amul,Lassi,1089,34.46,37528.37,1376,368,635,15.87,5.47,3.07,2.53,26.94,37913.42,53,841.31,-385.05,-1.03,92.6,4.6,0.876,0.799,15.87,37.51,Spring,South,Online,B2021013819,315
2021-01-15,Amul,Milk,1041,50.68,52758.55,1250,368,536,29.6,9.25,3.44,2.97,45.25,57274.48,24,710.3,-4515.94,-8.56,96.6,4.8,0.883,0.764,30.61,53.63,Spring,North,Retail,B2021019517,30
2021-01-15,Amul,Paneer,389,317.67,123574.05,464,278,342,128.65,35.11,27.73,18.84,210.32,101578.02,31,3988.05,21996.03,17.8,89.3,4.5,0.912,0.601,24.22,304.02,Spring,West,Online,B2021014182,47
2021-01-16,Amul,Chocolate,487,245.82,119712.69,598,324,431,122.8,26.76,20.08,7.53,177.16,106680.46,6,736.79,13032.23,10.89,95.3,4.8,0.847,0.91,18.84,266.98,Spring,Central,Direct,B2021016453,356
2021-01-16,Amul,Ice Cream,114,72.12,8222.23,139,379,401,42.71,7.32,6.9,3.98,60.91,8979.01,12,512.48,-756.79,-9.2,92.0,4.6,0.857,0.734,24.19,74.86,Spring,Central,Retail,B2021019846,81
2021-01-17,Amul,Cheese,601,379.15,227869.6,747,390,509,161.77,65.59,21.45,21.32,270.13,204050.77,14,2264.76,23818.83,10.45,94.2,4.7,0.81,0.848,31.76,391.81,Spring,South,Direct,B2021018484,137
2021-01-17,Amul,Cheese,706,408.7,288542.72,947,139,340,195.94,71.54,35.04,19.07,321.59,312379.53,40,7837.52,-23836.81,-8.26,87.9,4.4,0.866,0.785,34.35,394.39,Spring,East,Wholesale,B2021015903,244
2021-01-17,Amul,Chocolate,565,253.02,142958.77,652,216,257,107.43,50.35,23.81,16.37,197.96,130146.87,10,1074.3,12811.9,8.96,88.8,4.4,0.837,0.643,17.59,258.22,Spring,North,Retail,B2021016793,78
2021-01-17,Amul,Lassi,387,37.39,14471.07,436,300,307,19.51,6.51,1.88,2.02,29.92,13434.68,20,390.15,1036.39,7.16,86.9,4.3,0.89,0.834,25.41,38.01,Spring,South,Online,B2021019043,182
2021-01-18,Amul,Curd,362,46.4,16797.17,410,180,220,18.58,6.21,3.74,2.41,30.94,13168.82,26,483.14,3628.35,21.6,85.4,4.3,0.857,0.677,34.14,47.42,Spring,North,Direct,B2021018501,24
2021-01-18,Amul,Curd,436,44.33,19326.29,517,477,544,25.1,7.39,3.01,2.3,37.8,20118.7,23,577.38,-792.41,-4.1,86.2,4.3,0.909,0.73,27.09,42.46,Spring,East,Retail,B2021013442,20
2021-01-18,Amul,Yogurt,143,66.73,9543.03,175,122,134,38.34,10.83,4.16,2.75,56.07,10042.6,6,230.05,-499.57,-5.23,89.9,4.5,0.875,0.842,22.51,64.26,Spring,East,Wholesale,B2021012888,23
2021-01-19,Amul,Butter,1054,466.37,491552.17,1387,358,670,225.05,80.53,42.62,15.55,363.75,506777.98,10,2250.53,-15225.81,-3.1,89.4,4.5,0.897,0.616,17.93,506.37,Spring,Central,Wholesale,B2021011535,47
2021-01-19,Amul,Curd,743,41.66,30955.1,1038,145,405,22.86,6.76,3.45,3.19,36.25,39456.3,80,1828.41,-8501.2,-27.46,96.9,4.8,0.89,0.914,25.63,42.82,Spring,North,Online,B2021014255,19
2021-01-19,Amul,Ghee,968,511.25,494893.38,1289,343,632,253.34,66.78,43.01,20.31,383.44,497801.91,14,3546.77,-2908.53,-0.59,90.9,4.5,0.865,0.899,15.25,516.43,Spring,South,Direct,B2021014200,44
2021-01-20,Amul,Cheese,1131,387.11,437819.82,1498,358,719,192.03,58.77,36.64,25.77,313.2,478966.74,51,9793.4,-41146.92,-9.4,89.5,4.5,0.814,0.936,17.52,372.65,Spring,East,Wholesale,B2021017123,217
2021-01-20,Amul,Lassi,1313,35.68,46846.44,1643,402,691,19.46,3.75,2.73,1.86,27.8,47099.99,73,1420.81,-253.55,-0.54,90.3,4.5,0.808,0.79,18.87,33.2,Spring,South,Online,B2021017836,352
2021-01-20,Amul,Paneer,617,314.8,194231.95,835,313,503,140.88,44.52,22.72,22.69,230.81,195826.04,22,3099.47,-1594.09,-0.82,94.1,4.7,0.838,0.831,25.7,295.38,Spring,South,Retail,B2021013802,62
2021-01-21,Amul,Curd,757,43.4,32850.39,928,475,607,25.26,4.59,3.54,2.39,35.79,34699.73,59,1490.53,-1849.34,-5.63,96.4,4.8,0.899,0.626,22.66,47.29,Spring,South,Wholesale,B2021019322,26
2021-01-21,Amul,Ghee,767,525.64,403163.87,892,360,472,282.78,79.55,51.66,27.05,441.03,396796.22,12,3393.3,6367.65,1.58,97.2,4.9,0.851,0.689,26.97,510.85,Spring,West,Wholesale,B2021013244,290
2021-01-22,Amul,Chocolate,546,260.23,142083.15,606,72,121,126.51,29.37,15.31,18.18,189.37,115897.58,9,1138.63,26185.57,18.43,89.9,4.5,0.882,0.787,32.55,252.77,Spring,West,Wholesale,B2021017523,69
2021-01-22,Amul,Chocolate,638,250.22,159638.42,881,250,456,108.48,30.9,21.51,10.59,171.48,153785.67,25,2712.0,5852.74,3.67,92.7,4.6,0.849,0.732,25.1,245.75,Spring,Central,Online,B2021016493,238
2021-01-22,Amul,Chocolate,472,249.42,117726.03,653,278,458,136.0,46.28,15.82,16.87,214.97,142688.42,17,2312.02,-24962.39,-21.2,89.7,4.5,0.913,0.609,26.54,234.11,Spring,East,Online,B2021012676,258
2021-01-22,Amul,Curd,368,45.46,16730.1,417,401,434,20.54,6.25,4.27,3.45,34.51,15069.7,33,677.76,1660.4,9.92,89.6,4.5,0.875,0.826,30.0,43.26,Spring,East,Online,B2021013478,29
2021-01-23,Amul,Butter,471,476.88,224609.32,628,435,586,250.98,86.48,31.58,16.1,385.14,242871.54,4,1003.91,-18262.23,-8.13,88.5,4.4,0.863,0.791,23.03,500.41,Spring,South,Online,B2021014061,296
2021-01-23,Amul,Cheese,256,425.57,108946.68,322,385,425,239.09,74.77,24.92,22.45,361.23,119424.0,13,3108.12,-10477.32,-9.62,85.9,4.3,0.925,0.673,26.48,449.72,Spring,Central,Retail,B2021011652,161
2021-01-23,Amul,Curd,648,40.37,26158.73,902,119,343,22.35,5.66,3.1,1.22,32.33,30188.03,46,1028.07,-4029.3,-15.4,88.6,4.4,0.885,0.911,21.38,39.66,Spring,North,Retail,B2021015103,5
2021-01-23,Amul,Ghee,1415,547.55,774788.83,1787,170,518,298.91,59.19,37.66,29.59,425.35,765187.66,17,5081.43,9601.16,1.24,91.7,4.6,0.887,0.738,27.14,509.74,Spring,Central,Direct,B2021015903,158
2021-01-23,Amul,Ice Cream,736,92.1,67784.88,995,252,487,52.57,9.71,8.01,4.12,74.4,79335.38,101,5309.25,-11550.5,-17.04,86.1,4.3,0.875,0.866,26.76,100.23,Spring,Central,Retail,B2021012325,106
2021-01-23,Amul,Paneer,1357,336.33,456405.59,1536,156,308,151.28,54.86,32.06,10.8,248.99,398489.82,106,16035.53,57915.77,12.69,96.9,4.8,0.817,0.804,21.13,353.03,Spring,South,Wholesale,B2021016487,129
2021-01-24,Amul,Ice Cream,593,80.33,47633.36,792,109,260,46.74,11.74,4.17,5.93,68.58,56233.74,41,1916.34,-8600.38,-18.06,92.9,4.6,0.898,0.944,32.04,78.7,Spring,North,Direct,B2021017379,288
2021-01-24,Amul,Milk,1054,56.02,59044.19,1464,152,561,30.39,6.99,5.4,2.02,44.8,66257.55,22,668.59,-7213.36,-12.22,92.6,4.6,0.912,0.876,22.57,60.96,Spring,East,Wholesale,B2021019205,3
2021-01-25,Amul,Ice Cream,943,96.38,90884.54,1082,332,471,41.74,16.15,7.87,5.74,71.5,82199.76,116,4841.75,8684.78,9.56,86.1,4.3,0.841,0.884,15.3,103.45,Spring,Central,Direct,B2021014984,248
2021-01-25,Amul,Ice Cream,218,89.65,19543.77,265,445,456,43.55,9.18,5.19,5.89,63.8,18083.54,27,1175.72,1460.23,7.47,93.3,4.7,0.914,0.734,19.17,95.93,Spring,South,Wholesale,B2021012152,172
2021-01-25,Amul,Lassi,935,35.93,33594.57,1201,463,694,15.25,6.76,3.43,2.24,27.69,34139.74,58,884.74,-545.16,-1.62,91.7,4.6,0.862,0.774,18.72,37.51,Spring,Central,Direct,B2021016059,56
2021-01-26,Amul,Cheese,908,426.86,387588.43,1040,467,569,222.52,51.4,39.15,20.77,333.84,351202.0,18,4005.4,36386.43,9.39,88.2,4.4,0.891,0.704,29.06,416.78,Spring,East,Retail,B2021011430,137
2021-01-26,Amul,Chocolate,477,286.28,136553.46,526,109,147,154.3,32.6,23.48,14.73,225.12,120727.82,15,2314.54,15825.64,11.59,89.3,4.5,0.827,0.625,24.15,292.26,Spring,East,Retail,B2021012888,174
2021-01-26,Amul,Ghee,738,597.33,440827.7,944,99,271,245.25,78.82,59.64,19.72,403.45,384040.92,13,3188.31,56786.78,12.88,87.4,4.4,0.839,0.89,21.49,555.98,Spring,South,Wholesale,B2021012336,303
2021-01-26,Amul,Milk,762,50.04,38129.89,953,282,456,26.49,7.77,4.83,3.42,42.51,41071.63,21,556.24,-2941.74,-7.72,87.9,4.4,0.901,0.656,20.55,47.08,Spring,North,Online,B2021014468,12
2021-01-27,Amul,Paneer,256,329.57,84369.59,340,450,491,176.82,34.25,26.55,18.22,255.85,89465.31,14,2475.51,-5095.71,-6.04,89.3,4.5,0.908,0.751,18.22,354.14,Spring,South,Direct,B2021012851,328
2021-01-28,Amul,Cheese,492,446.47,219661.23,637,432,539,258.82,66.49,36.48,17.51,379.29,248596.35,27,6988.03,-28935.13,-13.17,92.6,4.6,0.843,0.706,27.55,437.21,Spring,South,Wholesale,B2021011393,286
2021-01-28,Amul,Ghee,1376,558.51,768506.44,1894,104,580,288.7,91.99,37.09,38.31,456.1,868191.1,15,4330.55,-99684.66,-12.97,89.7,4.5,0.909,0.815,31.95,563.83,Spring,North,Online,B2021016149,357
2021-01-28,Amul,Ice Cream,514,93.15,47876.76,676,281,395,49.4,14.0,6.65,3.52,73.58,51663.99,39,1926.77,-3787.22,-7.91,92.5,4.6,0.863,0.665,26.8,97.04,Spring,Central,Online,B2021017430,43
2021-01-28,Amul,Ice Cream,424,92.94,39405.74,573,418,562,44.98,13.04,5.03,5.23,68.28,41731.82,58,2608.61,-2326.08,-5.9,92.2,4.6,0.915,0.901,32.27,97.16,Spring,South,Wholesale,B2021019563,147
2021-01-28,Amul,Ice Cream,146,97.28,14203.35,199,61,97,56.47,16.34,7.68,6.45,86.94,17865.58,10,564.7,-3662.23,-25.78,87.2,4.4,0.817,0.652,17.45,106.47,Spring,South,Online,B2021011824,77
2021-01-29,Amul,Ice Cream,964,87.72,84564.48,1066,196,249,50.04,15.15,5.62,5.11,75.91,86322.3,108,5404.12,-1757.81,-2.08,95.4,4.8,0.885,0.861,33.74,87.73,Spring,North,Direct,B2021013594,324
2021-01-29,Amul,Lassi,1666,37.97,63252.62,2157,240,688,15.38,7.15,3.12,1.49,27.13,59889.99,89,1368.52,3362.64,5.32,89.9,4.5,0.883,0.767,27.28,37.71,Spring,North,Online,B2021012322,190
2021-01-29,Amul,Yogurt,756,76.87,58113.6,884,282,398,43.78,9.5,7.58,2.68,63.54,57310.96,26,1138.37,802.64,1.38,96.3,4.8,0.877,0.623,21.58,69.69,Spring,South,Retail,B2021016902,6
2021-01-30,Amul,Ghee,594,563.78,334885.01,735,165,280,282.17,78.83,32.43,27.46,420.9,311902.55,9,2539.57,22982.46,6.86,89.5,4.5,0.921,0.944,33.46,510.37,Spring,East,Wholesale,B2021015870,121
2021-01-30,Amul,Ice Cream,475,87.55,41586.98,651,222,390,49.57,10.54,5.37,4.17,69.65,46632.21,26,1288.77,-5045.23,-12.13,92.2,4.6,0.881,0.871,16.0,88.43,Spring,West,Direct,B2021017293,71
2021-01-30,Amul,Lassi,856,35.25,30172.35,1167,169,465,14.99,4.76,3.34,2.4,25.49,31056.12,87,1304.5,-883.78,-2.93,87.8,4.4,0.929,0.842,25.7,38.15,Spring,South,Wholesale,B2021018417,62
2021-01-30,Amul,Paneer,154,332.18,51155.85,211,448,463,195.69,40.64,31.64,22.79,290.77,62918.88,8,1565.54,-11763.03,-22.99,89.2,4.5,0.888,0.672,34.85,348.32,Spring,North,Online,B2021014525,257
2021-01-30,Amul,Yogurt,716,65.1,46611.7,917,187,379,31.58,9.77,3.96,4.8,50.11,46862.4,29,915.78,-250.7,-0.54,93.0,4.7,0.811,0.767,17.59,59.55,Spring,West,Direct,B2021016503,26
2021-01-31,Amul,Curd,217,40.95,8885.3,295,240,298,21.56,7.44,2.86,2.79,34.65,10438.0,10,215.63,-1552.7,-17.47,89.2,4.5,0.931,0.9,31.19,42.09,Spring,South,Wholesale,B2021019372,8
2021-01-31,Amul,Ice Cream,554,102.11,56570.56,733,53,208,51.18,10.26,8.63,7.87,77.95,59541.23,47,2405.41,-2970.67,-5.25,88.6,4.4,0.821,0.734,18.97,92.54,Spring,West,Retail,B2021019638,120
2021-01-31,Amul,Lassi,1552,40.57,62968.08,2006,170,612,21.32,4.5,3.8,3.16,32.77,67621.23,88,1876.18,-4653.15,-7.39,86.6,4.3,0.835,0.612,24.86,39.82,Spring,Central,Retail,B2021015267,71
2021-01-31,Amul,Lassi,1050,41.79,43879.76,1392,405,716,20.63,4.23,3.8,2.55,31.21,45013.36,76,1567.93,-1133.61,-2.58,90.2,4.5,0.83,0.756,34.46,43.62,Spring,Central,Online,B2021011455,280
2021-01-31,Amul,Milk,380,54.03,20532.52,471,62,116,21.88,7.33,5.11,4.02,38.33,18229.3,8,175.0,2303.22,11.22,93.0,4.7,0.862,0.804,21.39,54.17,Spring,South,Online,B2021011394,9
2021-01-31,Amul,Yogurt,967,70.89,68555.42,1267,373,655,31.49,9.5,6.4,4.99,52.38,67404.2,33,1039.18,1151.23,1.68,94.7,4.7,0.871,0.773,31.24,77.07,Spring,South,Wholesale,B2021012857,29
2021-02-01,Amul,Cheese,789,415.52,327848.43,977,204,366,172.58,59.66,36.34,24.12,292.71,292013.35,35,6040.43,35835.07,10.93,90.3,4.5,0.838,0.798,18.01,382.29,Spring,West,Retail,B2021021264,274
2021-02-01,Amul,Curd,609,41.15,25062.03,731,475,593,19.3,7.0,2.69,1.76,30.75,23406.43,48,926.4,1655.61,6.61,87.0,4.4,0.844,0.884,32.13,40.81,Spring,Central,Direct,B2021021906,15
2021-02-01,Amul,Ice Cream,1008,96.85,97622.97,1304,296,542,42.22,18.39,5.74,6.9,73.26,100088.98,108,4560.06,-2466.01,-2.53,88.6,4.4,0.854,0.806,31.46,102.58,Spring,West,Wholesale,B2021024600,333
2021-02-01,Amul,Ice Cream,470,98.76,46417.83,633,477,630,52.83,18.24,9.72,7.63,88.42,57818.58,35,1848.95,-11400.75,-24.56,94.3,4.7,0.883,0.882,34.01,99.62,Spring,North,Online,B2021029364,363
2021-02-01,Amul,Paneer,1243,323.74,402404.31,1586,486,800,193.6,51.37,20.58,19.95,285.5,463252.26,54,10454.27,-60847.95,-15.12,86.9,4.3,0.916,0.774,24.01,297.91,Spring,Central,Retail,B2021022379,322
2021-02-02,Amul,Cheese,318,409.23,130134.84,424,302,364,194.14,66.87,27.25,21.16,309.42,132552.4,7,1358.99,-2417.56,-1.86,91.4,4.6,0.85,0.891,20.37,417.54,Spring,Central,Direct,B2021021941,209
2021-02-02,Amul,Ghee,250,523.16,130789.9,348,198,249,309.82,55.02,37.11,18.2,420.15,146830.82,2,619.63,-16040.92,-12.26,96.1,4.8,0.837,0.74,23.43,479.88,Spring,Central,Wholesale,B2021024136,183
2021-02-02,Amul,Lassi,189,39.87,7534.8,256,404,443,19.54,6.06,2.35,3.07,31.02,8096.29,8,156.3,-561.49,-7.45,98.0,4.9,0.93,0.787,15.54,40.87,Spring,Central,Online,B2021024516,295
2021-02-03,Amul,Curd,476,48.37,23025.63,546,54,86,28.21,9.41,4.02,2.25,43.89,24921.76,34,959.02,-1896.12,-8.23,91.3,4.6,0.849,0.795,25.56,47.47,Spring,South,Direct,B2021025399,28
2021-02-03,Amul,Ghee,843,584.1,492398.27,1170,330,628,325.13,97.09,58.01,38.49,518.73,611460.14,14,4551.8,-119061.88,-24.18,97.0,4.8,0.87,0.938,22.0,609.76,Spring,North,Wholesale,B2021024217,76
2021-02-03,Amul,Ghee,709,572.32,405771.34,951,400,633,239.29,84.09,46.45,21.81,391.65,374610.88,9,2153.63,31160.46,7.68,97.4,4.9,0.865,0.836,20.37,621.86,Spring,South,Direct,B2021024173,310
